This is a tab delimited file. If you are seeing this in your web browser, you 
probably want to use the "Save target as..." right-click option, or the 
"Download link to disk..." option on macintosh browsers. (Mac users, hold down 
the mouse button over the link until the pop-up menu appears.)
This text file contains the red:green ratios 
from hybridizations done with arrays containing all the elements 
of the yeast genome.  The "i" preceding the element indicates 
that the spot of DNA corresponds to an intergenic segment of DNA 
to the right of the indicated element.  Blanks indicate that the 
spot on the array corresponding to that element did not contain 
usable data.


NAME	FX6	FX4
iYBR140C	0.71	0.79
iYBR141C	0.55	0.44
iYBR142W	0.54	0.79
iYBR143C	0.86	0.5
iYBR144C	0.67	0.8
iYBR145W	0.7	0.54
iYBR146W	0.9	0.81
iYBR147W	0.61	0.55
iYBR148W	0.67	0.79
iYBR149W	0.48	0.45
iYBR150C	0.52	0.86
iYBR151W	0.71	0.94
iYBR152W	0.94	0.99
iYBR153W	0.66	0.94
iYBR154C	0.94	0.97
iYBR155W	0.69	0.95
iYBR156C	1.12	1.15
iYBR157C-0	0.95	1.08
iYBR157C-1	1.07	1.02
iYBR158W	0.88	1.04
iYBR159W	0.99	1.04
iYBR160W	0.81	1
iYBR161W	1.31	1.33
iYBR162C	0.84	0.83
iYBR162W-A	1.28	1.3
iYBR163W	0.89	0.77
iYBR164C	1.29	0.99
iYBR165W	0.75	0.77
iYBR166C	0.84	0.85
iYBR167C	0.93	0.81
iYBR168W	0.74	0.77
iYBR169C	0.78	0.74
iYBR170C	0.92	0.88
iYBR171W	0.69	0.71
iYBR172C	0.81	0.8
iYBR173C	0.67	0.76
iYBR175W	0.94	0.92
iYBR176W	0.63	0.71
iYBR178W	0.65	0.91
iYBR179C	0.86	0.81
iYBR180W	0.65	0.78
iYBR181C	0.72	0.76
iYBR182C	1.18	1.01
iYBR183W	0.71	0.84
iYBR184W	0.8	0.85
